자치구,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율
강남구,76.9,85.7,77.7,42.9,86.5
강동구,75.0,100.0,78.8,33.3,82.9
강북구,100.0,92.9,82.4,43.1,88.6
강서구,100.0,100.0,72.9,60.1,84.8
관악구,88.9,100.0,69.1,30.6,80.1
광진구,100.0,100.0,91.7,42.2,83.0
구로구,75.0,73.3,58.4,38.1,80.9
금천구,100.0,100.0,80.8,56.7,86.5
노원구,100.0,100.0,61.4,36.5,85.5
도봉구,100.0,100.0,100.0,45.0,87.6
동대문구,100.0,100.0,84.4,41.1,87.4
동작구,100.0,55.6,48.8,35.4,83.1
마포구,100.0,71.4,84.0,31.8,84.4
서대문구,100.0,80.0,80.5,40.7,83.2
서초구,75.0,66.7,63.4,41.4,87.5
성동구,100.0,88.9,94.4,37.1,86.5
성북구,100.0,80.0,82.7,41.5,84.0
송파구,90.9,76.9,80.9,34.9,84.6
양천구,100.0,50.0,87.5,35.6,80.9
영등포구,85.7,90.9,62.0,33.0,82.9
용산구,100.0,100.0,89.2,37.7,83.1
은평구,100.0,66.7,84.9,37.1,86.9
종로구,83.3,81.8,76.3,38.3,84.2
중구,66.7,66.7,65.3,33.7,88.3
중랑구,92.3,81.8,79.1,38.8,84.5
